,label,text
0,Population_Group,"horse populations,novice horse owner,amateur horsemasters,horse owners,vets,worldwide,horse owners,Danish hospital‐based population,broader equine colic population,racing Thoroughbreds,Horse Owner,military working horse population,subjects I …,world,White"
1,Food,"Dietary,Dietary Corn,fermented milk,Pinchbeck"
2,Health_Care_Activity,"patient management,prognosis,prognosis,prognosis,prognosis,horse health care,prognostic procedures,clinico-biochemical evaluation,prognosis,prognosis,prognosis,clinical assessment,Assessment,prognosis,horse health care,evaluate prognosis,prognosis,prognosis,Prognostic evaluation,Clinical evaluation,gastrointestinal emergency,prognosis,evaluating,Practical assessment,Medical management,prognosis,hospitalization,Management,emergency admissions,aspects of prognosis,prognosis,vital for colic treatment,prognosis,clinical management strategies,prognosis,prognosis,prognosis,prognosis,feeding management,development of post-anaesthetic,emergency care,surgical management,Clinical Management,Management,patient safety,Medical Management,presurgical management,Management,prognosis,hospital discharge"
3,Medical_Device,"Liquid metal strain gauges,tape worms-5,hypodermic productshas,tape worms-5,Rectal packing"
4,Chemical,metabolite
5,Therapeutic_or_Preventive_Procedure,"veterinary intervention,end‐to‐side anastomosis,surgical intervention,surgical intervention,referral treatments,medical therapy,Emergency equine abdominal surgery,surgery Equine colic surgery,fluid therapy,surgically,surgical intervention,treatment options,Surgical treatment,anaesthesia,surgery,surgical treatment,prophylaxis,Surgery,inhalant anesthesia,Fluid therapy,Early (acute) relaparotomy,anaesthesia,surgery,intravenous £uid treatment,post-colic nutrition,surgery,treatment,prophylactic antimicrobial administration,anti-inflammatory analgesia,Age-Dependent Intestinal Repair,Abdominal surgery,flank laparotomy,Trocharization,Nasogastric intubation,pre-anaesthetic stabilisation,surgery,Anesthesia,midline abdominal incisions,side‐to‐side jejunocaecal anastomosis,surgery,Post anaesthetic,Enteral fluid therapy,antibiotics prophylaxis,emergency abdominal surgery,surgical intervention,surgery,treatment,surgery,3-Internal treatment,surgery,small intestinal resection,Small intestinal resection,surgery,regligence,surgery,surgical,Impaction Colic Treatment …,Surgical reduction,small intestinal surgery,Surgery,small intestinal resection,intraperitoneal injection,Anaesthesia,Anesthetic Management,right flank laparotomy procedure,general anesthesia,venous drainage,intravenous injections,surgery Equine colic surgery,anaesthesia,emergency equine abdominal surgery,treatment,peritoneal centesis,treatment,surgery,Anesthesia,fluid therapy,treatment,typhlotomy,abdominal surgery,core abdominal rehabilitation exercises,surgical,paracentesis,Celiotomy closure,colic-evidence-based therapy,3-Internal treatment,Nonsurgical therapeutic procedures,Anesthesia"
6,Biologic_Function,"prognosis-assessment,gastrointestinal motility,gastrointestinal motility,antroduodenal motility,death,tapeworm‐associated,Cortisol circadian rhythm,intestinal apoptosis,intestinal myoelectrical activity,gastric secretion,blood pressure,gastrointestinal motility,Coagulation,food consumption,intestinal function,gastrointestinal motility,intestinal apoptosis,intestinal motility,Meal-induced gastric relaxation,intestinal motility,intestinal myoelectrical activity,death,intestinal motility,intravascular coagulation,arterial blood pressure"
7,Quantitative_Concept,"Mortality rates,mortality,prognostic value,mortality,mortality,mortality rates,mortality,postoperative mortality,mortality,mortality,mortality prediction,survival rates,mortality rates,mortality,incidence,Horse Health Care …,Hospital incidence,mortality,prognostic value,mortality,Peri‐anaesthetic mortality,incidence,intragastric pH,mortality,mortality,mortality,probability,decreased,decreased,survival rate,Mortality rates,statistical weights,published survival rates,mortality,incidence"
8,Geographic_Area,"Thessaloniki,United States,Austria,Lexington,Albania,Libya,Canada,Sudan,Veterinary World,Dublin,Georgia,Europe,northwest Ethiopia,Turkey,Wayanad district"
9,Manufactured_Object,"horse farms,horse farms,veterinary teaching hospital,veterinary teaching hospital,referral hospitals,horse farms,computer system,referral hospital,veterinary teaching hospital,pages …,Thoroughbred training premises,University Veterinary hospital,referral clinic,director of Virginia Tech's Marion duPont Scott Equine Medical Center has …,university hospitals,vaquejada parks,University of Georgia ambulatory practice,veterinary hospital of FCAV-UNESP,rodeo parks,veterinary teaching hospital,3rd Congress of the European College of Equine …,privately owned herds,Whirl Equine Colic Research Laboratory, Department of Large Animal Clinical Sciences, … Veterinary Symposium and the 10th International Equine Colic Research Symposium.,publications,University College of Veterinary Medicine.,Whirl Equine Colic Research Grant, University of …,Faculty of Veterinary Medicine, Shahid …,university referral hospital,referral facility,University of Georgia Ambulatory practice  .,horse farms,university of Liverpool,University of Georgia ambulatory practice,Fifth Equine Colic Research Symposium, University of Georgia, 1994, p …,Veterinary Clinic UDCA,referral hospitals,hospital,publications,University of Georgia,Austrian leisure horse referral hospital,veterinary hospitals,veterinary hospitals,Whirl Equine Colic Research Laboratory, College of Veterinary Medicine, University of Florida,Veterinary Clinics,College of Veterinary Medicine, University of Georgia,clinics,University of Georgia,Veterinary Teaching Hospital,College of Veterinary Medicine, University of Georgia, Athens …  .,veterinary hospitals,University of Georgia Volume 2,University of Georgia,veterinary college hospitals,University hospitals,veterinary teaching hospital,SPANA clinic,Munich University Veterinary Clinic,Referral Facility,University of Georgia,Georgia Center for Continuing Education, the University of Georgia  .,New Bolton Center"
10,Mental_or_Behavioral_Dysfunction,depressions
11,Spatial_Concept,intravenous
12,Molecular_Function,"fermentation,lactate dehydrogenase (LDH) activity,fermentation products"
13,Body_Substance,"serum electrolytes,intravenous fluids,peritoneal fluid,peritoneal fluid,serum,faecal volatile metabolome,faecal,serum,muscle biopsy"
14,Eukaryote,"tapeworms,Debre Zeit,tapeworm Anoplocephala perfoliata,parasite,Anoplocephala perfoliata,parasite,parasites,Internal Parasites,intestinal tapeworm,parasites,parasite,D iplomates,horse,endotoxemia-related colic  .,colic‐affected horses,mucosal larvae,Zerihun Assefa,Strongylus vulgaris larval,Enterolithiasis,gastrointestinal parasites,Butterworths-Einemann,Bauchhöhlenpunktat"
15,Mammal,"horses,horses,equids,horses,Thoroughbred mare,Thoroughbred mare,pony,mares,pony,Horses,horses,horses,horses,horses,diseased horses,horse,cattle,horse,donkey,donkeys,horses,buffalo,herds,herd horses,horses,Horses,foals"
16,"Body_Part,_Organ,_or_Organ_Component","large colon,large colon,linea alba,intestine,intestinal,intestinal,Intestinal,large intestines,gastric mucosal surface,small intestinal mesenteric vessel,colonic,left lobe of the liver,cranial mesenteric artery,mesenteric arteries,large intestinal,diseased kidneys,intestine,intestinal,nephrosplenic ligament,hindgut,Gut"
17,Tissue,"myenteric plexuses,Diseased Equine Tissues,intestinal mucosa,glandular gastric mucosa,intestinal specimens,small intestinal tissue,small intestinal smooth muscle,vascularized fibrous band"
18,Body_Location_or_Region,"ileocaecal junction,ileocecal junction"
19,Body_System,"gastrointestinal,gastrointestinal,Gastrointestinal,gastrointestinal tract,gastrointestinal tract,gastrointestinal tract,gastro-intestinal tract"
20,Pharmacologic_Substance,"halothane anesthesia,inotropic,non-steroidal anti-inflammatory drugs,analgesic,ketofen 10%®(ketoprofen,systemic antimicrobials,isoflurane anaesthesia,anticoagulants,analgesics,Analgesics,Analgesics,cyclooxygenase inhibitors,analgesics"
21,Organic_Chemical,"butorphanol tartrate,fusariotoxins,probiotics,flunixin,peritoneal fluid lactate,blood lactate,d-lactate,ketoprofen,FLUNIXIN MEGLUMINE,PENTAZOCINE,analgesic,epidural anesthesia…,epidural anesthesia…,Butorphanol tartrate,endotoxin,ketoprofen,endotoxin,colic,24–30,DBpia,serotonin (5‐HT,D-Lactate,pentazocine,Fibrin(ogen) degradation products,Xylazine-morphine,lactate,flunixin meglumine,neostigmine methylsulfate,pentazocine,ketoprofen,ketoprofen,povidone-iodine,flunixin meglumine,pentazocine,N‐butylscopolammonium bromide"
22,Sign_or_Symptom,"abdominal pain,Abdominal pain,abdominal pain,abdominal pain,abdominal pain,pain,acute abdominal pain,clinical signs,acute abdominal pain,continuous pain,abdominal pain,abdominal pain,pain,abdominal pain,acute abdominal pain,abdominal pain,gastrointestinal distension,pain,abdominal pain,post-operative diarrhea,abdominal pain,abdominal pain,pain,abdominal pain,Acute abdominal pain,abdominal pain,leucocytosis,colics,Acute postoperative diarrhoea,diarrhea,signs of abdominal pain,abdominal pain,Abdominal Pain,chronic constipation,abdominal discomfort,clinical signs,acute abdominal pain,pain"
23,Prokaryote,"Salmonella,probiotic bacteria,enteric bacteria"
24,Laboratory_Procedure,"blood lactate levels,Limulus amoebocyte lysate assay,hemostatic tests,laparotomy—an analysis,liver function tests,plasma adrenocorticotropic hormone concentrations,serum cortisol,Serum immunoglobulin (Ig) titres,blood lactate levels,peritoneal lactate,blood lactate levels,blood lactate levels,Serum enzyme pattern,chemiluminescent endotoxin activity assay,blood lactate levels"
25,Neoplastic_Process,"spindle cell tumors,PMC,Sarcoid Fibroblastic"
26,Injury_or_Poisoning,"intestinal injury,kidney damage,Intestinal ischemia-reperfusion injury,fatal equine colics,gastrointestinal strangulation obstruction,colon impaction,small intestinal ischaemic injury,mucosal damage,myocardial injury,Intestinal ischemic injury,Gastrointestinal rupture,Ischemia,small intestinal strangulation,myocardial injury,small intestinal strangulation,Reperfusion injury,injury"
27,Professional_or_Occupational_Group,"veterinary practitioners,surgeons,veterinarian,horse owners,veterinary surgeons,Veterinary practitioners,veterinarians,veterinary practitioners,veterinary practitioners,veterinary surgeons,veterinary professionals,horse professional,horse owners,veterinary students,animal clinician,medical expert,veterinarian,plague veterinarians,veterinary practitioners,Vet Nurse"
28,Research_Activity,"epidemiological studies,time-series methods,population-based prospective epidemiological study,Pilot Randomised Clinical Trial,retrospective study,epidemiological studies,prospective study,validation,retrospective study,multicenter retrospective study,historical cohort technique,epidemiological studies,Research,Colic-A Retrospective Study,controlled and open clinical studies,Prospective Multi‐Centre Study,Survey of equine nutrition,retrospective review,diagnosis of colic in equine field study,Whirl Equine Colic Research Laboratory and the … | 2 Island Whirl Equine Colic Research Laboratory and the … | 3 Island Whirl Equine Colic Research,comparative analysis,multicentered case-control study,comparative study,multi-center case-control study,Computational intelligence,case-control study,prospective case-control study,Division of Veterinary Clinical Studies,retrospective study,Prospective Study,Island Whirl Equine Colic Research Laboratory,prospective study,Follow-up coagulation studies,blind prospective study,retrospective study,Case-control study,Survey of equine colic examination procedures,in-vitro technique"
29,Organization,"Royal (Dick) School of Veterinary Studies,European College of Veterinary Surgeons,American Colleges of Veterinary Internal Medicine and Veterinary Surgeons, and European …,CiNii,North American Veterinary Conference"
30,"Amino_Acid,_Peptide,_or_Protein","tumour necrosis factor,haptoglobin,protein C,haemoglobin,Antithrombin III,phospholipase A2,Acute‐phase proteins,Thrombomodulin,Buscopan(R,parasite-specific serum antibody,Na+/glucose co-transporter,acute phase protein serum amyloid A,Endothelin‐1"
31,Mental_Process,decision making
32,Diagnostic_Procedure,"intestinal biopsy,exploratory celiotomy,diagnostic techniques,Abdominal ultrasonography,ultrasonographic anatomy,Abdominal palpation,Abdominal ultrasonography,abdominocentesis,localised abdominal sonography,Abdominal Radiographic Examination,blood examination,Venous blood lactate,Transabdominal ultrasound,ancillary diagnostic procedure,transabdominal large intestinal trocarization"
33,Qualitative_Concept,"severity,fatal,Lack,clinical,clinical,severe,severe,insufficient,hematologic variables,severe,specific,clinical,Novel,in vitro,error,clinical,severe,clinical experience,Clinical Experience"
34,Pathologic_Function,"operative complications,surgical site infection,postoperative complications,coagulation abnormalities,haemorrhagic,endotoxemia,post-operative complications,complications,endotoxaemic shock,complications,complications,recurrent,ischaemia,surgical site infections,Complications,Intestinal mucosal inflammation,endotoxemia,serious complication,postoperative complications,Surgical site infection,operative complications,endotoxemia,Complications,Gastric Rupture,complications,postoperative complications,Haemorrhage,severe endotoxemia,operative neutrophilic inflammation,negative effects,inflammatory response,complications,Gastric pathology,hemodynamic disturbances,Incisional complications"
35,Cell,"monocytes,blood leukocyte,Ehrlichia‐infected P388D1 mouse monocyte tissue culture cells"
36,Plant,"Colchicum autumnale,Juglans nigra,134-141.,medicinal plants,medicinal plants"
37,Daily_or_Recreational_Activity,swimming exercise
38,Disease_or_Syndrome,"disease,diseases,intestinal ischaemia,gastrointestinal dysmotility syndromes,acute abdominal disease,postâ•’operative complications,coagulation disorders,Epiploic foramen entrapment,chronic grass sickness,gastrointestinal tract disease,disease,large bowel disease,mycotoxicosis,syndrome,intestinal obstruction,disease,Endotoxemia,acute abdominal,grass sickness,chronic or acute,inflammatory lesions,tapeworm infections,intestinal ischaemia,tapeworm infections,large intestinal tympany,Intestinal dysmotility,Tapeworm infection,small intestinal distention,diseases,Anoplocephala perfoliata infection,Nonstrangulating intestinal infarction,gastrointestinal disorders,intestinal ischaemia,ischemic intestinal lesions,intestinal ischaemia,acute abdominal disease,disease,ocular disease,inflammatory abdominal disease,Gastric ulcers,endotoxemia,SALMONELLA SHEDDING,Intestinal obstruction,Intestinal inflammation,gastrointestinal disorders,acute equine visceral pain,acute and chronic diarrhea,epiploic foramen entrapment,syndrome,systemic inflammatory response syndrome,large intestinal disease,intestinal helminth infections,Right ventricular thrombus,rhinopneumonitis,diseases,intestinal epiploic foramen entrapment,abdominal pain disorder,intestinal ischaemia,colonic obstruction,endotoxaemia,strangulating intestinal lesions,gastric ulcer syndrome,abdominocentesis—a,Eosinophilic enteritis,gastrointestinal (GI) diseases,acute abdominal crisis,grass sickness,endotoxaemia,severe volvulus of the large colon,REACTANT IN EQUINE LAMINITIS,intra‐abdominal hypertension,acute gastrointestinal disease,intestinal volvulus,Aspiration pneumonitis,disorder,disease,stomach ulcers,acidosis,Lymphocytic‐plasmacytic enteritis,intestinal entrapment,Acute,Enteritis,acute abdominal crisis,5TH,gastrointestinal obstruction,epiploic foramen entrapment,disease,Visceral Pain,intestinal ischaemia,ocular or orthopedic disease,duodenitis‐proximal jejunitis,acute laminitis,disorders,intestinal ischaemia,disease,acute gastrointestinal disease,duodenitis-proximal jejunitis,Myonecrosis,disease,intestinal disorders,Small intestinal intussusception,nephrosplenic entrapment of the large colon,myenteric ganglionitis,Strangulating Small Intestinal Disease,syndrome,CHANCES,syndrome,intestinal disease,pancreatic disease,Cardiac arrhythmias,gastric ulcers,intestinal EFE,hepatic disease,endotoxin‐induced arterial hypoxaemia,strongylosis,intestinal borborygmi,AN,gastrointestinal dysfunction,disease,Gastrointestinal disorders,syndrome,dental abnormalities,gastric ulcer syndrome,syndrome,syndrome,intestinal ischaemia,small intestinal lesions,disorders of the small colon,Chronic and Recurrent,Impacted Colic-A,gastric ulcer syndrome,TREATING ABDOMINAL DISORDERS IN HORSES,gastric ulcer syndrome,intestinal ischemia,Jejuno-jejunal Intussusception,Jejuno-jejunal Intussusception,intestinal ischaemia,signs of gastro-intestinal,acute abdominal disease,Anoplocephala perfoliata infection,ILEOCAECAL VALVE,synovial sepsis,duodenitis-proximal jejunitis,strangulating diseases,Anoplocephala perfoliata infection,ileal impaction,ushaped intestinal viscus,ischaemic intestinal disease,abdominal distension,CD,ARABIAN HORSES WITH …,protozoal myeloencephalitis,gastrointestinal diseases,acute grass sickness,gastric ulcer syndrome,incisional infection,intestinal ischaemia,endotoxemia,endotoxemia,chronic endotoxin shock,syndrome,gastroduodenal ulceration,gastrointestinal problems,“Equine endotoxaemia,cow's paresis puerperalis,diseases,strangulating obstruction of the bowel"
39,Substance,Gastrointestinal sand
40,Clinical_Attribute,"prognostic variables,prognostic variable,heart rate,hematocrit,Prognostic factors,prognostic factors,blood pressure values,prognostic indicators"
41,"Nucleic_Acid,_Nucleoside,_or_Nucleotide",cell-free DNA
